title,category,nominee,artist,workers,img
55th Annual GRAMMY Awards  (2012),Best Dance/Electronica Album,Bangarang,Skrillex,"Skrillex, producer; Skrillex, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/skrillex_spotlight_634966900.png?itok=QKv15nLR
55th Annual GRAMMY Awards  (2012),Best Traditional Pop Vocal Album,Kisses On The Bottom,Paul McCartney,"Tommy LiPuma, producer; Al Schmitt, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/paul_mccartney_spotlight_514136852.png?itok=3WwFtz10
55th Annual GRAMMY Awards  (2012),Best Rock Performance,Lonely Boy,The Black Keys,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/blackkeys-spotlight-133330677.png?itok=Fg_iyIBe
55th Annual GRAMMY Awards  (2012),Best Hard Rock/Metal Performance,Love Bites (So Do I),Halestorm,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/halestorm-spotlight-160864096.png?itok=QOekLKB2
55th Annual GRAMMY Awards  (2012),Best Rock Song,Lonely Boy,,"Dan Auerbach, Brian Burton & Patrick Carney, songwriters (The Black Keys)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Dan%2BAuerbach/Dan%2520Auerbach_1_1_1574346471.jpg?itok=mffWnwZM
55th Annual GRAMMY Awards  (2012),Best Rock Album,El Camino,The Black Keys,"Danger Mouse & The Black Keys (Dan Auerbach & Patrick Carney), producers; Tchad Blake & Kennie Takahashi, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/blackkeys-spotlight-133330677.png?itok=Fg_iyIBe
55th Annual GRAMMY Awards  (2012),Best Alternative Music Album,Making Mirrors,Gotye,"Gotye, producer; Francois Tetaz, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/gotye-spotlight-161388441.png?itok=Rmvj1I33
55th Annual GRAMMY Awards  (2012),Best R&B Performance,Climax,Usher,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/usher_spotlight_463099304.png?itok=Z6i26r4D
55th Annual GRAMMY Awards  (2012),Best Traditional R&B Performance,Love On Top,Beyoncé,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/beyonce-spotlight-487073444.png?itok=_aIdWEFy
55th Annual GRAMMY Awards  (2012),Best R&B Song,Adorn,,"Miguel Jontel Pimentel, songwriter (Miguel)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/miguel-spotlight-168193507.png?itok=OyUyr_FD
55th Annual GRAMMY Awards  (2012),Best Urban Contemporary Album,Channel Orange,Frank Ocean,"James Ryan Ho, Frank Ocean & Om'mas Keith, producers; Jeff Ellis, James Ryan Ho & Frank Ocean, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/frankocean-spotlight-142871483.png?itok=FdmV7wPs
55th Annual GRAMMY Awards  (2012),Best R&B Album,Black Radio,Robert Glasper Experiment,"Keith ""Qmillion"" Lewis, engineer/mixer",
55th Annual GRAMMY Awards  (2012),Best Rap Performance,N****s In Paris,Jay-Z & Kanye West,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/jayz-spotlight.png?itok=kH-ODA6Q
55th Annual GRAMMY Awards  (2012),Best Rap/Sung Collaboration,No Church In The Wild,Jay-Z & Kanye West Featuring Frank Ocean & The-Dream,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/jayz-spotlight.png?itok=kH-ODA6Q
55th Annual GRAMMY Awards  (2012),Best Rap Song,N****s In Paris,,"Shawn Carter, Mike Dean, Chauncey Hollis & Kanye West, songwriters (Jay-Z & Kanye West)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/jayz-spotlight.png?itok=kH-ODA6Q
55th Annual GRAMMY Awards  (2012),Best Rap Album,Take Care,Drake,"Noah ""40"" Shebib, producer; Noel ""Gadget"" Campbell & Noah ""40"" Shebib, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/drake-spotlight-610823972.png?itok=W1KkeOdT
55th Annual GRAMMY Awards  (2012),Best Country Solo Performance,Blown Away,Carrie Underwood,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/carrieunderwood-spotlight-694619284.png?itok=NcNrFx2K
55th Annual GRAMMY Awards  (2012),Best Country Duo/Group Performance,Pontoon,Little Big Town,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/littlebigtown-spotlight-510442386.png?itok=QrnWs7y-
55th Annual GRAMMY Awards  (2012),Best Country Song,Blown Away,,"Josh Kear & Chris Tompkins, songwriters (Carrie Underwood)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Josh%2BKear/Josh%2520Kear_1_1_1575366906.jpg?itok=D3yRJ7si
55th Annual GRAMMY Awards  (2012),Best Country Album,Uncaged,Zac Brown Band,"Keith Stegall, producer; John Kelton, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/zac_brown_band_spotlight_521065510.png?itok=ZzsgGyHw
55th Annual GRAMMY Awards  (2012),Best New Age Album,Echoes Of Love,Omar Akram,"Gregg Karukas, producer; Gregg Karukas, engineer/mixer",
55th Annual GRAMMY Awards  (2012),Best Improvised Jazz Solo,Hot House,,"Gary Burton & Chick Corea, soloists",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Gary%2BBurton/Gary%2520Burton_1_1_1575373329.jpg?itok=DnpUyewI
55th Annual GRAMMY Awards  (2012),Best Jazz Vocal Album,Radio Music Society,Esperanza Spalding,"Esperanza Spalding, producer; Joe Ferla & Fernando Lodeiro, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/esperanzaspalding-spotlight-159983047.png?itok=MRdLH5dD
55th Annual GRAMMY Awards  (2012),Best Jazz Instrumental Album,Unity Band,Pat Metheny Unity Band,"James Farber & Pete Karam, engineers/mixers",
55th Annual GRAMMY Awards  (2012),Best Large Jazz Ensemble Album,Dear Diz (Every Day I Think Of You),Arturo Sandoval,"Gregg Field & Arturo Sandoval, producers; Gregg Field & Don Murray, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Arturo%2BSandoval/Arturo%2520Sandoval_1_1_1575363760.jpg?itok=-MlzqU5E
55th Annual GRAMMY Awards  (2012),Best Latin Jazz Album,¡Ritmo!,The Clare Fischer Latin Jazz Big Band,"Dan Blessinger, Les Brockmann, Matt Brownlie & Justin Merrill, engineers/mixers",
55th Annual GRAMMY Awards  (2012),Best Gospel/Contemporary Christian Music Performance,"10,000 Reasons (Bless The Lord)",Matt Redman,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/mattredman-spotlight-465226833.png?itok=H3Yjnr8Q
55th Annual GRAMMY Awards  (2012),Best Gospel Song,Go Get It,,"Erica Campbell, Tina Campbell & Warryn ""Baby Dubb"" Campbell, songwriters (Mary Mary)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Erica%2BCampbell/Erica%2520Campbell_1_1_1575372745.jpg?itok=MhYEtpn_
55th Annual GRAMMY Awards  (2012),Best Contemporary Christian Music Song,"10,000 Reasons (Bless The Lord)",,"Jonas Myrin & Matt Redman, songwriters (Matt Redman)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Jonas%2BMyrin/Jonas%2520Myrin_1_1_1575370553.jpg?itok=7TV3hFK8
55th Annual GRAMMY Awards  (2012),Best Gospel Album,Gravity,Lecrae,"Carlton Lynn & Joseph Prielozny, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/lecrae-spotlight-479421686.png?itok=AZaUJ1fR
55th Annual GRAMMY Awards  (2012),Best Contemporary Christian Music Album,Eye On It,TobyMac,"Christopher Stevens & Tobymac, producers; Jerricho Scroggins, Christopher Stevens & Taylor Stevens, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/TobyMac/TobyMac_1_1_1574344915.jpg?itok=KqIzmaPF
55th Annual GRAMMY Awards  (2012),Best Latin Pop Album,MTV Unplugged Deluxe Edition,Juanes,"Juan Luis Guerra, producer; Gustavo Borner, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/juanes_spotlight_632930938.png?itok=_LXBVcgo
55th Annual GRAMMY Awards  (2012),"Best Latin Rock, Urban or Alternative Album",Imaginaries,Quetzal,"Daniel Sheehy, producer; Pete Reiniger, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Quetzal/Quetzal_1_1_1575360615.jpg?itok=qiBCEWtD
55th Annual GRAMMY Awards  (2012),Best Regional Mexican Music Album (Including Tejano),Pecados Y Milagros,Lila Downs,"Paul Cohen, Lila Downs & Aneiro Taño, producers; Alan Saucedo, Aneiro Taño & Rodolfo Vasquez, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Lila%2BDowns/Lila%2520Downs_1_1_1575372823.jpg?itok=__aey_TM
55th Annual GRAMMY Awards  (2012),Best Tropical Latin Album,Retro,Marlow Rosado Y La Riqueña,"Victor ""Sonny"" Hernández, engineer/mixer",
55th Annual GRAMMY Awards  (2012),Best Americana Album,Slipstream,Bonnie Raitt,"Bonnie Raitt, producer; Ryan Freeland, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/bonnieraitt-spotlight-517117470.png?itok=A8FCWmWP
55th Annual GRAMMY Awards  (2012),Best Bluegrass Album,Nobody Knows You,Steep Canyon Rangers,"Gary Paczosa & The Steep Canyon Rangers (Mike Guggino, Charles Humphrey, Woody Platt, Nicky Sanders & Graham Sharp), producers; Brandon Bell & Gary Paczosa, engineers/mixers",
55th Annual GRAMMY Awards  (2012),Best Blues Album,Locked Down,Dr. John,"Dan Auerbach, producer; Dan Auerbach & Collin Dupuis, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/drjohn-spotlight-148797373.png?itok=jPWskuAn
55th Annual GRAMMY Awards  (2012),Best Folk Album,The Goat Rodeo Sessions,"Yo-Yo Ma, Stuart Duncan, Edgar Meyer & Chris Thile","Steven Epstein, producer; Richard King, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/yo_yo_ma_spotlight_181822113.png?itok=gxDliI_n
55th Annual GRAMMY Awards  (2012),Best Regional Roots Music Album,The Band Courtbouillon,"Wayne Toups, Steve Riley & Wilson Savoy","Joel Savoy, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Wayne%2BToups/Wayne%2520Toups_1_1_1575366512.jpg?itok=30cU9_uO
55th Annual GRAMMY Awards  (2012),Best Reggae Album,Rebirth,Jimmy Cliff,"Tim Armstrong, producer; Tim Armstrong, Kevin Bivona, J Bonner, Bill Mims, John Morrical & Clinton Welander, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Jimmy%2BCliff/Jimmy%2520Cliff_1_1_1575366028.jpg?itok=CoIKC5ag
55th Annual GRAMMY Awards  (2012),Best World Music Album,The Living Room Sessions Part 1,Ravi Shankar,"Barry Phillips, producer; Barry Phillips, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Ravi%2BShankar/Ravi%2520Shankar_1_1_1575369846.jpg?itok=9km6mK4W
55th Annual GRAMMY Awards  (2012),Best Children's Album,Can You Canoe?,The Okee Dokee Brothers,"Dean Jones, producer; Dean Jones, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/The%2BOkee%2BDokee%2BBrothers/The%2520Okee%2520Dokee%2520Brothers_1_1_1575368391.jpg?itok=Tb_269BZ
55th Annual GRAMMY Awards  (2012),"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",Society's Child: My Autobiography,Janis Ian,"Mike Charzuk, Christina Harcar, Jason Ojalvo & Stefan Rudnicki, producers; Stefan Rudnicki & Ted Scott, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/janisian-spotlight-481637989.png?itok=uCe_ge7i
55th Annual GRAMMY Awards  (2012),Best Comedy Album,Blow Your Pants Off,Jimmy Fallon,"Gerard Bradford, Mike DiCenzo, Jimmy Fallon & Lawrence Manchester, producers; Lawrence Manchester, engineer/mixer",
55th Annual GRAMMY Awards  (2012),Best Musical Theater Album,Once: A New Musical,,"Steve Kazee & Cristin Milioti, principal soloists; Steven Epstein & Martin Lowe, producers; Richard King, engineer/mixer (Original Broadway Cast With Steve Kazee, Cristin Milioti & Others)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Steve%2BKazee/Steve%2520Kazee_1_1_1575371653.jpg?itok=Hyba73LL
55th Annual GRAMMY Awards  (2012),Best Compilation Soundtrack For Visual Media,Midnight In Paris,(Various Artists),"Woody Allen, producer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Woody%2BAllen/Woody%2520Allen_1_1_1575374100.jpg?itok=xFz5V7Au
55th Annual GRAMMY Awards  (2012),Best Score Soundtrack For Visual Media,The Girl With The Dragon Tattoo,,"Trent Reznor & Atticus Ross, composers; Trent Reznor & Atticus Ross, producers; Blumpy & Alan Moulder, engineers/mixers (Trent Reznor & Atticus Ross)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Alan%2BMoulder/Alan%2520Moulder_1_1_1575370678.jpg?itok=5Dh20j7n
55th Annual GRAMMY Awards  (2012),Best Song Written For Visual Media,Safe & Sound (From The Hunger Games),"T Bone Burnett, Taylor Swift, John Paul White & Joy Williams, songwriters (Taylor Swift Featuring The Civil Wars)",,https://www.grammy.com/sites/com/files/styles/artist_circle/public/t_bone_burnett_spotlight_609763428.png?itok=_teXgyr1
55th Annual GRAMMY Awards  (2012),Best Instrumental Composition,Mozart Goes Dancing,,"Chick Corea, composer (Chick Corea & Gary Burton)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/chickcorea-spotlight-488226981.png?itok=JQO5nxpu
55th Annual GRAMMY Awards  (2012),Best Instrumental Arrangement,How About You,,"Gil Evans, arranger (Gil Evans Project)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Gil%2BEvans/Gil%2520Evans_1_1_1575365635.jpg?itok=LEON3BAg
55th Annual GRAMMY Awards  (2012),Best Instrumental Arrangement Accompanying Vocalist(s),City Of Roses,,"Thara Memory & Esperanza Spalding, arrangers (Esperanza Spalding)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/esperanzaspalding-spotlight-159983047.png?itok=MRdLH5dD
55th Annual GRAMMY Awards  (2012),Best Recording Package,Biophilia,,"Michael Amzalag & Mathias Augustyniak, art directors (Björk)",
55th Annual GRAMMY Awards  (2012),Best Boxed Or Special Limited Edition Package,Woody At 100: The Woody Guthrie Centennial Collection,,"Fritz Klaetke, art director (Woody Guthrie)",
55th Annual GRAMMY Awards  (2012),Best Album Notes,Singular Genius: The Complete ABC Singles,,"Billy Vera, album notes writer (Ray Charles)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Billy%2BVera/Billy%2520Vera_1_1_1575369165.jpg?itok=wy6A5cj2
55th Annual GRAMMY Awards  (2012),Best Historical Album,The Smile Sessions (Deluxe Box Set),,"Alan Boyd, Mark Linett, Brian Wilson & Dennis Wolfe, compilation producers; Mark Linett, mastering engineer (The Beach Boys)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/brianwilson-spotlight-52186261.png?itok=Wtne7lBi
55th Annual GRAMMY Awards  (2012),"Best Engineered Album, Non-Classical",The Goat Rodeo Sessions,,"Richard King, engineer; Richard King, mastering engineer (Yo-Yo Ma, Stuart Duncan, Edgar Meyer & Chris Thile)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/richard_king_spotlight_138814293.png?itok=bOHtR5nr
55th Annual GRAMMY Awards  (2012),"Producer Of The Year, Non-Classical",Dan Auerbach,,,
55th Annual GRAMMY Awards  (2012),"Best Remixed Recording, Non-Classical",Promises (Skrillex & Nero Remix),,"Joseph Ray, Skrillex & Daniel Stephens, remixers (Nero)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Joseph%2BRay/Joseph%2520Ray_1_1_1575365060.jpg?itok=oQi5CKRK
55th Annual GRAMMY Awards  (2012),Best Surround Sound Album,Modern Cool,,"Jim Anderson, surround mix engineer; Darcy Proper, surround mastering engineer; Michael Friedman, surround producer (Patricia Barber)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Jim%2BAnderson/Jim%2520Anderson_1_1_1575374199.jpg?itok=GCrhT5f4
55th Annual GRAMMY Awards  (2012),"Best Engineered Album, Classical",Life & Breath - Choral Works By René Clausen,,"Tom Caulfield & John Newton, engineers; Mark Donahue, mastering engineer (Charles Bruffy & Kansas City Chorale)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/John%2BNewton/John%2520Newton_1_1_1575364106.jpg?itok=FkRT-YBR
55th Annual GRAMMY Awards  (2012),"Producer Of The Year, Classical",Blanton Alspaugh (producer),,,
55th Annual GRAMMY Awards  (2012),Best Orchestral Performance,Adams: Harmonielehre & Short Ride In A Fast Machine,,"Michael Tilson Thomas, conductor; Jack Vad, producer; Roni Jules, Gus Polleck, Uwe Willenbacher & Denise Woodward, engineers/mixers (San Francisco Symphony)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Michael%2BTilson%2BThomas/Michael%2520Tilson%2520Thomas_1_1_1575368818.jpg?itok=he1ja-mb
55th Annual GRAMMY Awards  (2012),Best Opera Recording,Wagner: Der Ring Des Nibelungen,,"James Levine & Fabio Luisi, conductors; Jay David Saks, producer; Hans-Peter König, Jay Hunter Morris, Bryn Terfel & Deborah Voigt, soloists; Jay David Saks, engineer/mixer (The Metropolitan Opera Chorus; The Metropolitan Opera Orchestra)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Hans-Peter%2BK%25C3%25B6nig/Hans-Peter%2520K%25C3%25B6nig_1_1_1575359710.jpg?itok=rkgIh8r-
55th Annual GRAMMY Awards  (2012),Best Choral Performance,Life & Breath - Choral Works By René Clausen,,"Charles Bruffy, conductor; Blanton Alspaugh, producer; Tom Caulfield & John Newton, engineers/mixers (Lindsey Lang, Matthew Gladden, Pamela Williamson, Rebecca Lloyd & Sarah Tannehill; Kansas City Chorale)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Charles%2BBruffy/Charles%2520Bruffy_1_1_1575372910.jpg?itok=4xU5TSTb
55th Annual GRAMMY Awards  (2012),Best Chamber Music/Small Ensemble Performance,Meanwhile,,"Judith Sherman, producer; Eighth Blackbird (Matt Albert, Matthew Duvall, Lisa Kaplan, Michael J. Maccaferri, Tim Munro & Nicholas Photinos), ensembles; Bill Maylone, engineer/mixer",
55th Annual GRAMMY Awards  (2012),Best Classical Instrumental Solo,Kurtág & Ligeti: Music For Viola,,"Kim Kashkashian; Manfred Eicher, producer; Peter Laenger, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Kim%2BKashkashian/Kim%2520Kashkashian_1_1_1575366913.jpg?itok=3933EQ10
55th Annual GRAMMY Awards  (2012),Best Classical Vocal Solo,Poèmes,,"Renée Fleming, soloist; Arnaud Moral, producer; Christian Lahondes, engineer/mixer (Alan Gilbert & Seiji Ozawa; Orchestre National De France & Orchestre Philharmonique De Radio France)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Renee%2BFleming/Renee%2520Fleming_1_1_1575367548.jpg?itok=Kqwk3imr
55th Annual GRAMMY Awards  (2012),Best Classical Compendium,Penderecki: Fonogrammi; Horn Concerto; Partita; The Awakening Of Jacob; Anaklasis,,"Antoni Wit, conductor; Aleksandra Nagórko & Andrzej Sasin, producers; Aleksandra Nagórko & Andrzej Sasin, engineers/mixers (Antoni Wit)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Aleksandra%2BNag%25C3%25B3rko/Aleksandra%2520Nag%25C3%25B3rko_1_1_1575370863.jpg?itok=JJipPfOq
55th Annual GRAMMY Awards  (2012),Best Contemporary Classical  Composition,"Hartke, Stephen: Meanwhile - Incidental Music To Imaginary Puppet Plays",,"Stephen Hartke, composer",
55th Annual GRAMMY Awards  (2012),Best Short Form Music Video,We Found Love,Rihanna Featuring Calvin Harris,"Melina Matsoukas, video director; Juliette Larthe, Candice Ouaknine, Ben Sullivan & Inga Veronique, video producers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/rihanna_spotlight_860988414.png?itok=8Oh17tgR
55th Annual GRAMMY Awards  (2012),Best Long Form Music Video,Big Easy Express,"Mumford & Sons, Edward Sharpe & The Magnetic Zeros & Old Crow Medicine Show","Emmett Malloy, video director; Bryan Ling, Mike Luba & Tim Lynch, video producers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/mumfordandsons-spotlight-109055932.png?itok=zQPlOcSS
54th Annual GRAMMY Awards  (2011),Record Of The Year,Rolling In The Deep,Adele,"Paul Epworth, producer; Tom Elmhirst & Mark Rankin, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/138850365_adele.jpg?itok=X8mml-Wk
54th Annual GRAMMY Awards  (2011),Album Of The Year,21,Adele,"Jim Abbiss, Adele, Paul Epworth, Rick Rubin, Fraser T. Smith, Ryan Tedder & Dan Wilson, producers; Jim Abbiss, Philip Allen, Beatriz Artola, Ian Dowling, Tom Elmhirst, Greg Fidelman, Dan Parry, Steve Price, Mark Rankin, Andrew Scheps, Fraser T. Smith & Ryan Tedder, engineers/mixers; Tom Coyne, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/138843004_adele.jpg?itok=REu3ZiUk
54th Annual GRAMMY Awards  (2011),Song Of The Year,Rolling In The Deep,,"Adele & Paul Epworth, songwriters (Adele)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/138863909_adele.jpg?itok=AcTf2dRn
54th Annual GRAMMY Awards  (2011),Best New Artist,Bon Iver,,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/138863776_bon_iver.jpg?itok=1NPJveRY
54th Annual GRAMMY Awards  (2011),Best Pop Solo Performance,Someone Like You,Adele,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/adele-spotlight-620173502.png?itok=NgHznhps
54th Annual GRAMMY Awards  (2011),Best Pop Duo/Group Performance,Body And Soul,Tony Bennett & Amy Winehouse,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/tony_bennett_spotlight_802207278.png?itok=-e40Pq43
54th Annual GRAMMY Awards  (2011),Best Pop Instrumental Album,The Road From Memphis,Booker T. Jones,"Booker T. Jones, Rob Schnapf & Ahmir ""?uestlove"" Thompson, producers; Gabriel Roth & Rob Schnapf, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/gettyimages-697421460.png?itok=lnAwKitv
54th Annual GRAMMY Awards  (2011),Best Pop Vocal Album,21,Adele,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/adele-spotlight-620173502.png?itok=NgHznhps
54th Annual GRAMMY Awards  (2011),Best Dance Recording,Scary Monsters And Nice Sprites,Skrillex,"Skrillex, producer; Skrillex, mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/skrillex_spotlight_634966900.png?itok=QKv15nLR
54th Annual GRAMMY Awards  (2011),Best Dance/Electronica Album,Scary Monsters And Nice Sprites,Skrillex,"Skrillex, producer; Skrillex, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/skrillex_spotlight_634966900.png?itok=QKv15nLR
54th Annual GRAMMY Awards  (2011),Best Traditional Pop Vocal Album,Duets II,Tony Bennett & Various Artists,"Dae Bennett & Phil Ramone, producers; Dae Bennett, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/tony_bennett_spotlight_802207278.png?itok=-e40Pq43
54th Annual GRAMMY Awards  (2011),Best Rock Performance,Walk,Foo Fighters,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/foofighters-spotlight-510453312.png?itok=gMryUQp9
54th Annual GRAMMY Awards  (2011),Best Hard Rock/Metal Performance,White Limo,Foo Fighters,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/foofighters-spotlight-510453312.png?itok=gMryUQp9
54th Annual GRAMMY Awards  (2011),Best Rock Song,Walk,,"David Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett & Pat Smear, songwriters (Foo Fighters)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/davegrohl-spotlight.png?itok=WKx_GXDa
54th Annual GRAMMY Awards  (2011),Best Rock Album,Wasting Light,Foo Fighters,"Butch Vig, producer; James Brown & Alan Moulder, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/foofighters-spotlight-510453312.png?itok=gMryUQp9
54th Annual GRAMMY Awards  (2011),Best Alternative Music Album,Bon Iver,Bon Iver,"Brian Joseph, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/boniver-spotlight-527961080.png?itok=U3rrUgnT
54th Annual GRAMMY Awards  (2011),Best R&B Performance,Is This Love,Corinne Bailey Rae,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Corinne%2BBailey%2BRae/Corinne%2520Bailey%2520Rae_1_1_1575363636.jpg?itok=29hIK8yV
54th Annual GRAMMY Awards  (2011),Best Traditional R&B Performance,Fool For You,Cee Lo Green & Melanie Fiona,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/ceelogreen-spotlight-695400132.png?itok=wjbuxmQ1
54th Annual GRAMMY Awards  (2011),Best R&B Song,Fool For You,,"Melanie Fiona, Cee Lo Green & Jack Splash, songwriters (Cee Lo Green & Melanie Fiona)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Melanie%2BFiona/Melanie%2520Fiona_1_1_1575365619.jpg?itok=UrYVlrUX
54th Annual GRAMMY Awards  (2011),Best R&B Album,F.A.M.E.,Chris Brown,"Brian Springer, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/chrisbrown-spotlight-514044766.png?itok=xc5pU0If
54th Annual GRAMMY Awards  (2011),Best Rap Performance,Otis,Jay-Z & Kanye West,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/jayz-spotlight.png?itok=kH-ODA6Q
54th Annual GRAMMY Awards  (2011),Best Rap/Sung Collaboration,All Of The Lights,"Kanye West, Rihanna, Kid Cudi & Fergie",,https://www.grammy.com/sites/com/files/styles/artist_circle/public/kanyewest-spotlight-104092319.png?itok=S4Ndga_I
54th Annual GRAMMY Awards  (2011),Best Rap Song,All Of The Lights,,"Jeff Bhasker, Stacy Ferguson, Malik Jones, Terius ""The Dream"" Nash, Warren Trotter & Kanye West, songwriters (Kanye West, Rihanna, Kid Cudi & Fergie)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Fergie/Fergie_1_1_1575372594.jpg?itok=6TfUGi-z
54th Annual GRAMMY Awards  (2011),Best Rap Album,My Beautiful Dark Twisted Fantasy,Kanye West,"Kanye West, producer; Andrew Dawson, Mike Dean, Noah Goldstein & Anthony Kilhoffer, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/kanyewest-spotlight-104092319.png?itok=S4Ndga_I
54th Annual GRAMMY Awards  (2011),Best Country Solo Performance,Mean,Taylor Swift,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/taylorswift-spotlight-510837066.png?itok=D9gFyazh
54th Annual GRAMMY Awards  (2011),Best Country Duo/Group Performance,Barton Hollow,The Civil Wars,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/civilwars-spotlight-138908309.png?itok=R7BLOTXa
54th Annual GRAMMY Awards  (2011),Best Country Song,Mean,,"Taylor Swift, songwriter (Taylor Swift)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/taylorswift-spotlight-510837066.png?itok=D9gFyazh
