coordinate,address,city,state,postal_code,ad_type,description,beds,bath,sqr_lot,sqft,year,style,property_type,price,currency
"('37.790072', '-122.391244')",280 Spear St Unit 17C,San Francisco,CA,94105,place,"View 18 photos of this 2 bed, 2 bath, 1,255 Sq. Ft. condo/townhome/row home/co-op at 280 Spear St Unit 17 C, San Francisco, CA 94105 on sale now for $1,800,000.",2,2,,"1,255",Built 2020,Built 2020,Type Condo/Townhome/Row Home/Co-Op,"$1,800,000",
"('37.801937', '-122.407192')",460 Filbert St Apt 3,San Francisco,CA,94133,place,"Telegraph Hill mid century style top floor 1 bedroom condo in a 3 unit building with expansive City views. Newly converted condo with an open floor plan, great room with hardwood floors, free standing gas fireplace & sliding glass doors leading to a private deck- great to BBQ. The remodeled kitchen features custom wood cabinets, Bosch dishwasher, side by side refrigerator with ice maker, gas range and disposal. The large bedroom has City views, generous closets and a built in office area is in the hallway. There is a remodeled bath with shower over tub and a skylight. City views can be enjoyed from the bedroom & the living room. The huge common area roof deck has expansive views of Coit Tower, the City to the south and west all the way to the Golden Gate Bridge. There is one car carport parking and a private storage room. HOA dues have yet to be determined but will include building insurance, common area PG&E, water, common area maintenance & reserves.",1,1,,760,Built 1957,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$895,000",
"('37.758366', '-122.435737')",253 Collingwood St,San Francisco,CA,94114,place,"A turn-of-the-century gem just steps from the Castro, 253 Collingwood Street lies in the heart of Eureka Valley and offers spectacular city views from nearly every room. Seamlessly merging period details with modern convenience, this tri-level Queen Anne Victorian has been lovingly maintained since 1891. Crown moldings and stained-glass make a statement amidst white oak flooring and soaring, 12-foot ceilings. Encompassing approximately 4, 015 sq. ft., this home offers unique income potential, boasting an additional one-bedroom with bonus space on the ground level, appointed with a separate kitchen and bath. The main house is punctuated by a grand living room with marble fireplace, formal dining room, and eat- in chef's kitchen. A master suite with stately fireplace and balcony is serviced by an adjacent bathroom with glass ceiling, standalone tub, and a succulent garden. Beyond the kitchen, a large back deck invites seamless outdoor living, giving way to a serene rear yard.",5,4,"3,025","4,015",Built 1906,Style  Victorian,Type Single Family Home,"$4,495,000",
"('37.781567', '-122.484098')",423-425 24th Ave,San Francisco,CA,94121,place,"Exceptional Newly built 3 Condos. 2 large 2-level townhouse style units with over 2300 sqft each. 3rd unit at the ground floor facing the beautiful garden. Awesome floor plan boasting expansive living space for modern style living. European custom made kitchen cabinet with marble counter. Thermadore appliances. Laundry room. High 9-ft ceiling. Sophisticated tiles work throughout bathrooms, kitchen back splash & fireplace. Hardwood floor. Glass stairs railing. Large deck off the upper master bedroom facing SF downtown. Another large roof deck with spectacular views of the City, Golden Gate Bridge and Lincoln Park. Radiant heat with Google Nest control. Fully sprinkler. Fire alarm. Separate water meter. Prime Richmond neighborhood close the Seacliff.",10,8,,"5,859",,Style  Modern/High Tech,Type Multi-Family Home,"$5,825,000",
"('37.763545', '-122.502594')",1238 43rd Ave,San Francisco,CA,94122,place,"Get ready to be charmed as this stunning rebuilt Sunset home has it all; 4 bdrms, 4.5 baths, a fantastic floorplan, great light + views, walkout decks, a large yard + a very desirable location This incredible Edwardian home built in 1912 & remodeled throughout in 2019. The clean lines combined w/ natural light through the many large view windows exemplifies the scale and open feel. 4 spacious bedrooms, each with its own full-sized bathroom. The main level showcases an open plan kitchen / living room / large dining area with sleek lighting, glass paned stairways and beautiful hardwood floors plus a bedroom with direct access to the rear deck and yard The gourmet kitchen features a large center island, new Thermador appliances with beautiful outlooks and access to the home's side deck for outdoor dining. A modern glass staircase leads to 2 bedrooms on the top floor; a master suite w/ western blue sky views, and the rear bedroom complete with an accompanying roof deck + yard.",4,4.5,"3,000","2,668",Built 1912,Style              Edwardian,Type Single Family Home,"$2,495,000",
"('37.77393', '-122.396241')",300 Berry St Unit 617,San Francisco,CA,94158,place,"Bright and spacious 1br/1ba unit + den at the Artera with city views and deeded balcony. Open kitchen/dining/living room and engineered hardwood floors, except for carpeted bedroom. Good storage and light throughout. HOA includes 24hr Concierge, Sunny View Roof Deck Garden with BBQ, Guest Suite and Fitness Center. Steps from Oracle Park, Chase Center, Dining, and Shopping. Easy access to freeways, Muni and Caltrain. 98 WalkScore. Open on Sunday, January 26, 2020 from 2-3:30pm",1,1,,770,Built 2009,Built 2009,Type Condo/Townhome/Row Home/Co-Op,"$849,000",
"('37.772971', '-122.416477')",1035 Natoma St,San Francisco,CA,94103,place,"Lots of potential to make this your own architectural treasure in SOMA 3 bedroom/1 bathroom perched in the ideal commute location with grand San Francisco style and potential for expansion and renovation. Characteristic turn of-the-century hallmarks and fine period detailing await restoration that include decorative plaster and hardwood floors. The formal living and dining rooms both at the front of the home boast tall ceilings and bay windows. Off the spacious kitchen, the porch can be a playroom, family room or office, and the garage offers numerous possibilities for additional living space. Jaunt over to Boba Guys in Hayes Valley for bubble tea, ambling around the many shops and diverse restaurants. Walk or bike to Trader Joes and Costco for gatherings in the home's citrus tree-filled backyard. Walk to BART and Muni or Highway 101, 80 and 280 are minutes away.Enjoy the historic chance to bring this quintessential San Francisco home to life.",3,1,,"1,340",Built 1906,Style  Victorian,Type Single Family Home,"$1,195,000",
"('37.71023', '-122.426265')",451 Stoneridge Ln Unit 3102,San Francisco,CA,94134,place,"Enjoy fantastic space and sunlight in this lower-level 2BD/2BA Crocker-Amazon gated community with parking, outdoor space and in-unit laundry. Beautifully updated. Bright living room and dining alcove surround a pass-through kitchen with Mahogany counter, farmhouse sink and top of the line appliances includes Viking stove and microwave. Outside, there's a covered patio plus a shared yard. The spacious master suite includes an en suite bathroom and walk-in closet. The second bed and bath are large and well-appointed. There's an extra-large laundry closet with side-by-side washer dryer, underground one-car parking. Located behind gated driveway and intercom entry across the street from Crocker-Amazon Park and John McLaren Park. Bus service right outside the complex, plus easy access to Balboa Park, the 101 and 280.",2,2,4.9,"1,068",Built 1996,Built 1996,Type Condo/Townhome/Row Home/Co-Op,"$700,000",
"('37.731248', '-122.373905')",800 Innes Ave Apt 8,San Francisco,CA,94124,place,"This is not in the Shipyard, but in INDIA BASIN, to the north. Enjoy a unique boutique property in a 12 unit HOA, out of the purview, but benefiting from, the huge master HOA of what will be built. It will be unique. Top floor two level condo, 2 fireplaces, side by side laundry, parking and beautiful finishes. Ample storage, and a great floor-plan allowing flexibility for furnishings.",2,2,,"1,594",Built 2004,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$850,000",
"('37.742816', '-122.457694')",61 Rockwood Ct,San Francisco,CA,94127,place,"True Forest Hill Extension gem on lovely cul-de-sac block! The main level features two bedrooms, a beautifully updated kitchen with eat-in dining area, and comfortable living room with fireplace. The top floor features a master bedroom, and one room that could be used as an office or bedroom, each with roof deck and gorgeous views. The lower level family room transitions seamlessly into the well manicured backyard. Flexible floor plan, bright and open. Family room with full bathroom, or possible 5th bedroom. This smart home is move-in-ready, equipped with built in speaker system, Nest Thermostat, and home security cameras. Well positioned and fully detached, this home offers privacy and serenity. Just blocks from the 43 and 48 Bus stops and minutes from the Forest Hill and West Portal MUNI stations.",4,3,"2,487","2,827",Built 1941,Built 1941,Type Single Family Home,"$2,195,000",
"('37.728726', '-122.413656')",115 Colby St,San Francisco,CA,94134,place,"115 Colby is situated in the hills of the Portola district, overlooking the beautiful San Francisco Bay. Truly a great home for entertaining. This completely remodeled two-story property has plenty of natural lighting providing a sense of warmth throughout the home. Highlights include two master suites, an additional family room on the first floor, and a beautiful open floor kitchen. The kitchen is fully equipped with top of the line appliances and has a beautiful waterfall quartz countertop as its centerpiece. Colby is conveniently located near McLaren Park, a natural gem located in an urban setting, great for hikers (2.3-mile loop). Also located nearby is HWY 101/280 and public transportation.",3,3,"1,750","1,715",Built 1970,Built 1970,Type Single Family Home,"$1,598,000",
"('37.721457', '-122.454802')",178 Brighton Ave,San Francisco,CA,94112,place,"Welcome to this newly renovated semi-detached home in desirable sunny Ingleside! Completely redesigned & remodeled from the studs w/open concept. 2 story, 2, 274 SQFT, custom-designed contemporary 3BD/4BA+Media Rm & Office, smart home w/state of the art voice control & Ring security camera. Behind the modern facade, the beautiful hardwood floors, recessed lightings, plenty of natural light flow throughout the home's open airy layout w/6 skylights. Upstairs features spacious living room w/fireplace, open dining room, chef's dream kitchen w/premium finishes, quartz countertops, professional-grade BOSCH appliances, modern cabinetry, 2BD/2BA w/1 master suite & media room. Downstairs features 1BD/2BA w/1 master suite & home office, an entertaining family room w/wet bar, laundry hookup ready, 2 car side by side garage with extra 2 side by side driveway parking. Just steps from vibrant Ocean Avenue, Whole Foods, Philz, Yoga Flow, Library, CCSF, Public & Private schools, BART, Muni and HWY 280.",3,4,"2,809","2,274",Built 1967,Style  Contemporary/Modern/High Tech,Type Single Family Home,"$1,495,000",
"('37.78433', '-122.467475')",214-216 9th Ave,San Francisco,CA,94118,place,"Edwardian shingle-style building originally built in 1908 with charming historic curb appeal. In 'A' location directly on the Lake Street District-Inner Richmond border. Existing 100% vacant building ready for expansion remodel. Site Permit recently approved for 4 bed/3.5 bath, expansion of exterior of building envelope to create 3 living levels, coveted and spacious rear full lot width deck that is 12' deep off 2nd level and view roof deck. Ideal for owner-users, contractors and/or developers. Property ideal for family residence compound or a good fast track condo conversion opportunity for condo converters. Approved plans save 12-15 months in wait time and carrying costs - begin work without the hassle and uncertainty. Building envelope options: 3, 003 sf w/ 2 car tandem parking (per Site Permit) or 3, 210 sf w/ 1 car parking (with minor mods). Bring your interior designer to customize plans and immediately make your dream home a reality!",,,"2,063","3,210",Built 1908,Style              Edwardian,Type Multi-Family Home,"$1,995,000",
"('37.711944', '-122.470694')",238 Chester Ave,San Francisco,CA,94132,place,"Entering the gracious Living Room w/ornate corner fireplace w/its marble surround & gas insert, you immediately feel at home! Refinished hardwood floors, parquet in the LR & formal DR, & unique original moldings throughout. A curved archway introduces the Formal DR with Bay windows. Inviting kitchen with hardwood floors, high end stainless steel applicances including a double oven, solid wood cabinets & striking honed quartz countertops. 3 stylish tiled BAS, one with a tub & two with showers. Upstairs are 2 spacious BRS including the Master w/ensuite BA. Downstairs, overlooking the manicured garden is a huge third BR/family room w/washer/dryer, sink, and wine bar. There is also a full bath on this level. Two car garage w/ample storage. Large workshop/garden shed. Lovely move-in home which has been in the same family for 62 years has been completely renovated & is in immaculate condition. All new systems, almost all new windows, new exterior and interior paint & new deck & fences.",3,3,"3,000",,Built 1940,Style  Traditional,Type Single Family Home,"$1,290,000",
"('37.763328', '-122.430981')",362 Sanchez St Unit A,San Francisco,CA,94114,place,"Own a classic piece of San Francisco with this Edwardian condo in the heart of the Castro and Eureka Valley! Located on a flat block, this home features two bedrooms, split bath, and exudes charm via period details including coved ceilings, crown moldings, and wainscoting. Off the hallway sits a bonus nook, perfect for a home office or project space. The kitchen features stainless steel appliances and a pantry for the creative gourmand to perfect their latest recipes. Its light-filled master bedroom has bay windows overlooking a shared sun-filled garden with lush plant life for afternoon relaxation or dining al fresco with friends. A large, deeded storage area completes this home. Of note, seismic retrofit work for the building was completed and paid for in 2018! Perfectly located in the heart of San Francisco, 362 Sanchez #A is steps to entertainment in the Castro and Inner Mission, bustling Valencia Street, sunny Sundays in Dolores and Duboce Parks, transportation and much more!",2,1,,"1,032",Built 1943,Style              Edwardian,Type Condo/Townhome/Row Home/Co-Op,"$995,000",
"('37.786905', '-122.39092')",400 Beale St Apt 2306,San Francisco,CA,94105,place,"Incredible south-facing two-bedroom, plus office water view residence at The Bridge View. #2306 is located in the heart of South Beach and features two spacious bedrooms an enclosed office/nursery with unobstructed water views, an open living /dining room and kitchen, and one and one half bathrooms. #2306 comes with what is considered to be the best parking space in the building and storage. The Bridgeview is a full service building with 24 hour security, gym, hot tub, an outdoor heated pool and a roof deck with two BBQs overlooking the Bay Bridge and water. Come and see one of the best values in South Beach.",2,1.5,,"1,215",Built 2002,Built 2002,Type Condo/Townhome/Row Home/Co-Op,"$1,349,000",
"('37.715508', '-122.45062')",2645 San Jose Ave,San Francisco,CA,94112,place,"The perfect blend of size, style, and location! Spacious 2337 SF home offering 3 Bedrooms/2 bathrooms plus office or potential 4th bedroom and large additional bonus room. Completely remodeled with open floorplan, modern architecture and designer style throughout. Fabulous kitchen/great room with granite counters, stainless steel appliances, large central island and wiring for audio/video. Spectacular east-facing views of rolling San Francisco hills. Backyard with extensive two-tiered decking system with Redwood and Ipe wood. Solar power, hardwood flooring, recessed lighting, and an abundance of natural light throughout. Oversized (433 SF) 2 car attached garage and separate storage area (169 SF). Superb location near BART, freeway access, shopping and restaurants, parks and city college. A must see!",3,2,"2,500","2,337",Built 1923,Style  Contemporary,Type Single Family Home,"$1,500,000",
"('37.78063', '-122.389625')",88 King St Unit 625,San Francisco,CA,94107,place,"Exceptional 3BR home w dramatic Bay Bridge, Marina & Oracle Park views! Open concept kitchen & living area remodeled to perfection w large windows on 3 sides, high ceilings, & wood flooring. Gourmet kitchen w white Caesarstone ctrs, modern cabinetry w satin chrome handles, & pendant lighting; Miele dishwasher & oven, built in Sub Zero fridge, & new sink. Enjoy extensive counter space for a casual dining + add'l pantry. Oversized terrace provides a lovely oasis for relaxation. Master Suite w stunning bay windows has a frontal Bay Bridge & Marina view. Complete w custom built ins; closets w organizers, king bed, 2 nightstands, & lighting. Master bath is remodeled w white granite sink vanity & separate toilet rm w spa like tiled shower. Add'l walk- in closet w built in storage systems. 2 spacious BRs w large floor to ceiling bay windows overlooking Oracle Park & serene pool/gardens. Remodeled guest BA w dramatic tiled spa like tub/shower. Pkg, Storage, Resort-Style amenities!",3,2,,"1,340",Built 2000,Style  Contemporary/Modern/High Tech,Type Condo/Townhome/Row Home/Co-Op,"$1,795,000",
"('37.782646', '-122.390388')",219 Brannan St Unit 6A,San Francisco,CA,94107,place,"PRICE REDUCED! Compare Value - Short Window of Opportunity! Coveted NW corner residence at the prestigious Brannan. One of the most desired, flexible plans with floor-to-ceiling windows showcases partial view of the Bay Bridge, Twin Peaks, the courtyard, pool & downtown city skyline. Formal entry leads to light-filled large open living/formal dining area. Stylish new HWD floors, custom paint, designer halogen lights, Bose surround sound speakers, and motorized window shades create a warm ambiance. Discreet dual-accessed kitchen boasts high-end appliances & ample storage. Large en-suite MB features walk-in closet and full bath w/ marble finishes. 2ND bedroom at opposite side of the unit allows privacy. In-unit W/D, deeded PKG and option for 2nd car. Building amenities include 24/7 security, concierge, on-site management, gym, pool & BBQ area. Ideal location to  Embarcadero waterfront activities, to downtown, Cal Train, BART, Tech shuttle stops, & Oracle Park. Easy access to fwy 101, & B",2,2,,"1,226",Built 2000,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$1,450,000",
"('37.786063', '-122.392176')",425 1st St Unit 5402,San Francisco,CA,94105,place,"Perched high atop One Rincon Hill on the 54th floor is this tastefully updated and customized 2 bedroom 2 bathroom home with breath-taking views of the San Francisco Bay and the Bay Bridge. You can soak in all the dazzling views through the 11.5 foot tall windows. Enjoy these amazing views in the living room, either of the bedrooms, kitchen, or from the privacy of your own balcony! This home comes with Brazillian cherrywood floors, Bianco Antico granite kitchen countertops, an amazing custom audio system with in-ceiling speakers, custom Sony HD projector, custom lighting, and drop down projector screen. Prime location with easy and convenient access to the Bay Bridge, 101, and 280. Easily walk to the Financial District, Embarcadero, Yerba Buena Gardens, and South Beach! Amenities include fitness centers, steam rooms, outdoor pool and spa. Enjoy resort-style living high atop San Francisco!",2,2,,"1,449",Built 2008,Style  Contemporary/Modern/High Tech,Type Condo/Townhome/Row Home/Co-Op,"$3,580,000",
"('37.766868', '-122.426248')",161 Dolores St Apt 5,San Francisco,CA,94103,place,"Top floor sunny, 1 BR TIC in hot Mission Dolores location with views. Graced with a spacious foyer and abundant natural light. Timeless period details throughout, including wood floors, coved ceilings, traditional molding, French doors and double hung period windows. Large kitchen with granite counters and stainless appliances. Updated bathroom with a claw foot tub. The lovely 1914 5-Unit building features an inviting lobby, shared laundry and tranquil furnished garden. Additional storage in common area. Terrific block of Dolores - one block to Whole Foods and 3 blocks to Dolores Park. Accessible to Valencia and Market Corridors, Hayes Valley, Dolores Park, 280 and 101 freeways, MUNI, BART, and tech shuttles.",1,1,,700,Built 1914,Built 1914,Type Condo/Townhome/Row Home/Co-Op,"$800,000",
"('37.7271', '-122.368')",51 Innes Court,San Francisco,CA,94124,place,"This single story home provides a smart layout with two bedrooms and two bathrooms in total.. Flanked around the open-concept living space for added privacy, the heart of the home showcases a spacious family room, dining area and kitchen with island that effortlessly connect and flow into one another for maximized interior space.",2,2,,"1,190",,Type Condo/Townhome/Row Home/Co-Op,Type Condo/Townhome/Row Home/Co-Op,from,
"('37.786216', '-122.434402')",2060 Sutter St Apt 503,San Francisco,CA,94115,place,"Located in desirable Lower Pacific Heights, this open and bright top floor unit wont last long. A well maintained 2 bed / 2 bath unit that is flooded with natural light, views from every room, features tall ceilings, private storage locker on same floor, custom shutters on all windows, washer/dyer in unit, one designated parking spot and stylish features throughout. The spacious master bedroom has a large custom walk in closet and private master bath. Relax in the spacious living room nearby the wood burning fireplace or watch sunset on the western facing private patio. This great property is well maintained, has and elevator for easy access and a beautiful shared BBQ area for entertaining. Nearby to Filmore Street Shops, Divisadero Street Corridor, restaurants and more. Walk score 99, this is a must see property!",2,2,,988,Built 1984,Built 1984,Type Condo/Townhome/Row Home/Co-Op,"$1,198,000",
"('37.771594', '-122.388589')",420 N Mission Bay Blvd Unit 705,San Francisco,CA,94158,place,"Resort living in the heart of San Francisco, Mission Bay! This pristine, view, 2 bedroom and 2 bath condo, offers a serene, bright, generous floor plan. The bedrooms are divided by a spacious, open, combined living-dining room that extends to a sizable balcony. The balcony overlooks an open-air sundeck, beautiful pool, manicured gardens, wonderful Bay, and partial City and Bay Bridge views. Highlights of this home include stunning floor-to-ceiling windows, chef's kitchen, top-of-the-line finishes & fixtures, great parking + superb storage located on the same floor. The location is stellar. It offers easy access to dining, shopping, entertainment, public transportation the freeway and airports. It is a must-see!",2,2,,"1,141",Built 2012,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$1,675,000",
"('37.772044', '-122.439339')",1122 Page St Apt 4,San Francisco,CA,94117,place,"Triple Mint location at the convergence of San Francisco's most central and desirable neighborhoods Hayes Valley, Haight Ashbury and Alamo Square, 1122 Page St #4 embodies the very best of City living. Classic Edwardian architecture blends seamlessly with an open-concept floorplan to create a functional living space with modern amenities. Light and bright, features include inlaid wood floors, remodeled chef's kitchen with granite countertops & gas range, 2 well proportioned bedrooms, master bdrm with walk-in closet and remodeled tiled bathroom. Additional improvements include newly installed designer lighting, fresh interior paint, NEST thermostat and full capacity Bosch W/D. Located on the top floor of a boutique 4-unit building with dramatic City views and outlooks onto verdant rear gardens. HUGE Bonus attic space currently used for add'l storage with development potential. Self-managed TIC with low HOA dues of $300/mo and 1-car garage parking complete this sweet City abode.",2,1,,,Built 1904,Style              Edwardian,Type Condo/Townhome/Row Home/Co-Op,"$1,295,000",
"('37.788682', '-122.391851')",318 Main St Unit 4G,San Francisco,CA,94105,place,"Spacious 1bd/2ba w/ den, currently being shown as 2bd/2ba. The den was converted into a functional guestroom, with private en-suite bathroom. This is one of the best 1bd +den layouts in the building. The master bedroom features two closets; a large walk-in-closet and a custom added closet. The master suite is has a spacious luxurious bathroom. The main living area has floor-to-ceiling windows & glass doors lead to a deck. Artful cabinetry, Caesarstone counter-tops & Gaggenau appliances create a tasteful kitchen. Bosch washer & dryer and NEST simplify your life, while stylish oak flooring and ceramic tiled bathrooms welcome you home. With over one acre of luxury amenities The Lumina sets itself apart from other exclusive 5-star buildings.",2,2,,"1,087",Built 2015,Built 2015,Type Condo/Townhome/Row Home/Co-Op,"$1,425,000",
"('37.771404', '-122.438356')",968 Haight St,San Francisco,CA,94117,place,"Welcome to 968 Haight, a lovely Buena Vista Park area home. This spacious contemporary condo has an open floor plan and is flooded with natural light. The over-sized, south facing living/dining room is perfect for entertaining with a large bay window. The kitchen features a breakfast bar, granite counters, stainless steel appliances and abundant cabinet space. Quiet and spacious bedroom at the rear of the home as is well-appointed full bathroom. Wood floors and carpet installed in 2020. Explore the trendy shops and restaurants nearby and enjoy the serenity of Buena Vista and Golden Gate Parks. On site laundry, deeded parking with additional space for storage and an amazing location with fantastic walk-ability, bike-ability and transit/commute access. Plus, low HOA Dues and professional property management in boutique 22-unit building! This is a gem!",1,1,,840,Built 1987,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$869,000",
"('37.780767', '-122.402142')",855 Folsom St Apt 941,San Francisco,CA,94107,place,"1 bedroom Below Market Rate (BMR) housing opportunity available at 100% Area Median Income (AMI). Maximum income for 1 person = 86, 200, 2 people = $98, 500; 3 = $106, 550; 4 = $110, 850, etc. Must be 1st-time homebuyer & income eligible. Unit available thru the Mayor's Office of Housing and Community Development (MOHCD) & subject to resale controls, monitoring & other restrictions. Unit will be listed on DAHLIA, the SF Housing Portal (https://housing.sfgov.org) starting on the application date, 1/9/2020. Visit for application & program info. Application, loan pre-approval, and homebuyer education verification due on 01/30/2020 5pm. Fair Housing Opportunity",1,1,,503,Built 2001,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$402,947",
"('37.736171', '-122.393645')",1767-1769 Oakdale Ave,San Francisco,CA,94124,place,"REDUCE FOR QUICK SALE. Owner in an exchange. Great opportunity for owner occupancy plus income. This two (2) unit family building is totally detached, fenced with 2 car tandem garage. The top unit is a vacant 3 bedrooms 1 bath, laundry w/Washer & Dryer. The lower unit is tenant occupied 2 bedrooms 1.5 bath, w/d hookup. This 2 unit building sits on 2495 sq ft, and is approx. 2000 sq ft. The property is conveniently located near freeway access 101/280, the 3rd street rail; which gets you to the Warriors Stadium, Chase Stadium, UCSF. It's also walking distance to S/E Campus of City College. Sellers very motivated.",5,2,"2,495","2,000",Built 1900,Style  Contemporary/Edwardian,Type Multi-Family Home,"$1,150,000",
"('37.760609', '-122.420218')",178 San Carlos St,San Francisco,CA,94110,place,"Spacious Top Floor 2 bed/ 1 bath Condo in Small Boutique 3 Unit Building. Located in a desirable secluded street in Inner Mission. Features include a spacious open kitchen with adjacent living area, refinished hardwood floors throughout. In unit laundry utility room, parking for one car. Abundant natural light throughout the condo. Highly coveted location! Walk, Bike or jog to Dolores Park. Only 3 blocks from BART and steps away from Valencia Street restaurants, shops and cafes.",2,1,,994,Built 1906,Style  Victorian,Type Condo/Townhome/Row Home/Co-Op,"$995,000",
"('37.79307', '-122.418175')",1317 Hyde St Apt 3,San Francisco,CA,94109,place,"Exquisite period details and modern luxury converge in this stunning 2BR, 1 BA condo located in the quintessential San Francisco neighborhood of Nob Hill. Soaring ceilings, hardwood floors and well placed windows frame the home and attention to detail is apparent throughout. A formal dining room with hand crafted box beamed ceilings and a light-filled formal living room, along with a spacious chef's kitchen complete with European appliances, marble countertops, and abundance of storage make this home an entertainers dream. The piece de resistance, however, is the recently remodeled, luxurious bathroom which features Custom vanity, Waterworks fixtures and freestanding cast iron tub. The 6-unit Edwardian building is impeccably well maintained and exudes the Old World charm and architectural details of a bygone era. Simply hop on the cable car or walk to the many fabulous restaurants and shops nearby. In unit laundry room, shared yard, storage plus pre-paid leased pkg. Walk Score 99!",2,1,,"1,332",Built 1909,Style              Edwardian,Type Condo/Townhome/Row Home/Co-Op,"$1,549,000",
"('37.796839', '-122.425636')",2427 Franklin St,San Francisco,CA,94123,place,"Beautifully updated 4 Bedroom/ 2.5 bath Edwardian condominium that combines gracious period detail and a touch of modern appeal. Offering the ideal one level floor plan, this charming home includes a large kitchen with breakfast bar that opens directly to the light filled dining and living room. The hardwood floors, high ceilings, recessed lighting, fireplace, period molding and wainscoting highlight this spacious interior. Located off the hallway awaits 4 bedrooms, a full bathroom, half bath and laundry room with generous storage. The en-suite master bedroom romances with the dramatic period fireplace, cabinetry with leaded glass doors and box beam ceiling. Generous closet space, storage and deeded parking complete this gorgeous condominium situated in sought after Pacific Heights.",4,2.5,,"2,158",Built 1908,Style              Edwardian,Type Condo/Townhome/Row Home/Co-Op,"$2,350,000",
"('37.800449', '-122.419072')",2112 Hyde St Apt 3,San Francisco,CA,94109,place,"NEWEST unit to be released in this gorgeous reconstructed 1BD/1.5BA residence at heart of San Francisco's Russian Hill neighborhood. Walking distance from countless iconic restaurants, and points of interest. Spacious open floorplan with living room fireplace, great for entertaining, wide plank wood-floors and recessed lighting throughout. The chef's kitchen features brand new stainless energy efficient appliances, lavish quartz countertops, ceiling height cabinetry with ample storage, generous back splashes, eat-in counter tops, tasteful pendant lights. The serene master suite offers en suite bathroom, and an option for walk-in closet/dressing room or office. Dual function washer/ dryer units are located in the bedroom's second closet. Half bathroom in hallway features playful decorative tile wall. The home also features dual pane Milgard windows throughout, as well as a Mysa Smart Thermostat and 1 assigned garage parking space.",1,1.5,,888,Built 1964,Built 1964,Type Condo/Townhome/Row Home/Co-Op,"$1,225,000",
"('37.804483', '-122.417714')",25 Bret Harte Ter,San Francisco,CA,94133,place,"This seldom available 3BD/2BA home has had only two owners since it was built as the first home on this secluded cul-de-sac on the prime (sunny and wind-protected!) east slope of Russian Hill. Remarkably, every room has a view, whether of downtown, the bay, Coit Tower, or the exquisite garden. The back of the home steps out to the delightful, lovingly-maintained garden (with sunny south and west exposures) complete with a rose-arbor, espaliered trees, and a calming fountain. Easy flow indoors-outdoors is ideal for entertaining on a large or intimate scale. One car garage with a second car able to park horizontally at the curb cut. Extra storage and expansion potential as well as potential to add a pano view roof deck. This is a rare offering of a magical garden with a charming home!",3,2,"2,147",,Built 1938,Built 1938,Type Single Family Home,"$4,000,000",
"('37.783173', '-122.407689')",2 Mint Plz Apt 502,San Francisco,CA,94103,place,"Bathed in natural light from the wall of industrial-sized south-facing windows, this stunning loft boasts over 2, 000 sq ft of customized live/work space in a prime SoMa location. Offering the perfect blend of historical architectural details from the original Hales Warehouse (soaring 11 6' ceilings, acid-stained high gloss concrete flooring, exposed pillars) and modern features including 2 large bedroom suites w/ luxurious en-suite bathrooms and large walk-in closets w/ storage systems. A state-of-the-art open kitchen with top-of-the line-appliances & abundant designer cabinetry and a massive living, dining, entertaining, bonus space w/ custom office and entertainment systems make this a very comfortable & flexible space. Designer lighting, in-unit washer and dryer, central heating and cooling, one parking space and much more complete this special property. 2 Mint Plaza features a common view roof deck with BBQ, a hot tub, gym & 24 hour security. Seller to pre-pay 1 Year HOA and pkg.",2,2,,"2,018",Built 1926,Style  Modern/High Tech,Type Condo/Townhome/Row Home/Co-Op,"$1,995,000",
"('37.76461', '-122.400919')",310 Carolina St Unit 301,San Francisco,CA,94107,place,"Minimal. Contemporary. Luxury. Perfection. Truly exceptional and incredibly spacious 3rd-Floor unit in the boutique luxury building, The Onyx. This 903 square-foot unit has East-facing windows with a Juliet balcony overlooking Jackson Park that floods the living room with light. Finishes are top-of-the-line: wide-plank European white-oak floors with radiant heat, stunning chef's kitchen with built-in Liebherr refrigerator, Bosch dishwasher, quartz countertops, gas cooktop & Barbosa cabinets. The bedroom has a huge custom closet and the bathroom is spa-inspired. Webpass hi-speed internet, CAT6, Direct TV, security system. In-unit Laundry. Deeded parking, storage & bike locker. The spectacular common roof deck, just a few steps from the unit, has multiple seating areas, a gas grill, and views of the city in every direction. The Onyx converges upon the coveted Potrero Hill, the Design District, the Mission, and SOMA. Philz Coffee is just around corner and Whole Foods.",1,1,,903,Built 2015,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$1,350,000",
